"Dato","Hijri-dato","Fajr","Fajrslutt","Duhr","Asr","1x-skygge","2x-skygge","Maghrib","Isha"
"01-03-2023","9-8-1444","05:14","07:11","12:39","15:39","14:58","15:39","17:48","19:37"
"02-03-2023","10-8-1444","05:11","07:08","12:39","15:41","15:00","15:41","17:50","19:40"
"03-03-2023","11-8-1444","05:08","07:05","12:39","15:44","15:02","15:44","17:53","19:42"
"04-03-2023","12-8-1444","05:05","07:02","12:38","15:46","15:03","15:46","17:55","19:45"
"05-03-2023","13-8-1444","05:02","07:00","12:38","15:48","15:05","15:48","17:58","19:47"
"06-03-2023","14-8-1444","04:59","06:57","12:38","15:50","15:07","15:50","18:00","19:50"
"07-03-2023","15-8-1444","04:56","06:54","12:38","15:52","15:09","15:52","18:03","19:53"
"08-03-2023","16-8-1444","04:53","06:51","12:37","15:54","15:10","15:54","18:05","19:55"
"09-03-2023","17-8-1444","04:50","06:48","12:37","15:56","15:12","15:56","18:08","19:58"
"10-03-2023","18-8-1444","04:47","06:45","12:37","15:58","15:14","15:58","18:10","20:01"
"11-03-2023","19-8-1444","04:43","06:42","12:37","16:01","15:15","16:01","18:13","20:03"
"12-03-2023","20-8-1444","04:40","06:39","12:36","16:03","15:17","16:03","18:15","20:06"
"13-03-2023","21-8-1444","04:37","06:36","12:36","16:05","15:19","16:05","18:17","20:09"
"14-03-2023","22-8-1444","04:34","06:33","12:36","16:07","15:20","16:07","18:20","20:11"
"15-03-2023","23-8-1444","04:30","06:30","12:36","16:09","15:22","16:09","18:22","20:14"
"16-03-2023","24-8-1444","04:27","06:27","12:35","16:11","15:23","16:11","18:25","20:17"
"17-03-2023","25-8-1444","04:24","06:24","12:35","16:13","15:25","16:13","18:27","20:20"
"18-03-2023","26-8-1444","04:20","06:21","12:35","16:15","15:27","16:15","18:30","20:22"
"19-03-2023","27-8-1444","04:17","06:18","12:34","16:17","15:28","16:17","18:32","20:25"
"20-03-2023","28-8-1444","04:13","06:15","12:34","16:19","15:30","16:19","18:35","20:28"
"21-03-2023","29-8-1444","04:10","06:12","12:34","16:21","15:31","16:21","18:37","20:31"
"22-03-2023","30-8-1444","04:06","06:09","12:33","16:22","15:33","16:22","18:39","20:34"
"23-03-2023","1-9-1444","04:02","06:06","12:33","16:24","15:34","16:24","18:42","20:37"
"24-03-2023","2-9-1444","03:59","06:02","12:33","16:26","15:36","16:26","18:44","20:40"
"25-03-2023","3-9-1444","03:55","05:59","12:33","16:28","15:37","16:28","18:47","20:43"
"26-03-2023","4-9-1444","04:51","06:57","13:32","16:39","16:39","17:30","19:49","21:46"
"27-03-2023","5-9-1444","04:47","06:54","13:32","16:40","16:40","17:32","19:51","21:49"
"28-03-2023","6-9-1444","04:44","06:50","13:32","16:42","16:42","17:34","19:54","21:52"
"29-03-2023","7-9-1444","04:40","06:47","13:31","16:43","16:43","17:36","19:56","21:56"
"30-03-2023","8-9-1444","04:36","06:44","13:31","16:44","16:44","17:37","19:59","21:59"
"31-03-2023","9-9-1444","04:32","06:41","13:31","16:46","16:46","17:39","20:01","22:00"
